rec_id,co2
384,24.55026619
421,4.388262929
426,13.31468501
466,16.4339537
470,10.03961862
472,6.069386116
474,2.431313016
486,5.686334058
491,6.66866338
498,5.529225629
500,5.463358408
505,15.88877547
511,14.21323669
512,12.71507653
528,9.850504808
540,18.77701559
552,6.72975272
557,11.0444176
558,5.472049001
572,13.94017668
617,16.48930687
620,5.585770472
630,6.682234991
646,7.988349898
651,7.981689625
668,5.556982367
671,6.443850718
672,9.826971371
675,11.43782929
682,4.902468918
757,5.53116401
798,4.024838374
861,12.87949765
865,6.420758116
891,10.12975302
919,5.949334409
920,4.9828958
924,11.65121264
930,15.07877991
938,8.125541746
956,5.825456625
963,4.576517462
966,18.30816912
989,6.37087119
1000,9.517357357
1023,14.20726419
1038,10.04645982
1060,10.68449291
1064,17.80835807
1133,17.18920312
1151,7.820921317
1153,5.063801531
1175,8.229288425
1221,7.805942332
1230,4.933303844
1260,10.63458889
1331,10.24456833
1335,11.50642993
1367,7.092851069
1389,17.55624247
1433,6.13999409
1439,7.563198029
1441,5.929217448
1449,4.584690014
1478,13.02107546
1494,14.30735865
1497,3.952388084
1499,7.3174551
1511,5.51875637
1512,7.443262424
1515,8.004013122
1555,8.452617098
1562,8.914749662
1601,7.352907014
1614,8.01098752
1624,5.129263278
1639,9.454349085
1648,7.335850562
1651,19.93975163
1656,5.080759562
1659,16.16201935
1674,6.024300055
1681,6.694535368
1689,6.936497601
1698,6.872829254
1699,12.40256526
1718,17.56079109
1722,15.87398507
1724,10.27378489
1737,12.4934116
1793,10.33612779
1794,6.604599577
1838,9.357750074
1910,9.340862176
1934,8.538218201
1954,8.419691148
1977,11.2151271
1978,11.76970787
1983,17.67747701
2001,7.308188709
2092,8.336609528
2093,5.997456814
2152,21.43948182
2153,4.763549088
2189,11.10207278
2211,15.72509458
2222,6.480982287
2277,5.958533024
2289,8.1661281
2290,2.724894577
2295,19.10617018
2300,4.254331969
2315,24.53053466
2329,12.60468608
2335,15.19754034
2336,9.114714041
2339,4.076301819
2350,7.295221185
2356,7.530438277
2363,9.754089086
2382,6.478188756
2387,5.733449259
2402,5.787242415
2408,5.893238653
2411,1.227967568
2429,12.04161628
2436,12.03702169
2456,10.18822505
2458,12.59991704
2461,8.681103194
2467,17.81103255
2472,12.71893326
2485,7.93718054
2491,12.26843687
2508,6.855388543
2509,8.066202194
2563,4.532835239
2565,7.300620833
2571,10.63732938
2576,12.57663054
2585,13.24661361
2587,10.91813231
2614,5.740609893
2751,3.559044457
2791,7.251789437
2792,6.677959827
2801,10.25648032
2972,3.05264179
3003,2.830577279
3026,7.495120735
3246,7.360613978
3248,5.487059811
3504,6.611117227
15455,20.93122416
15492,3.741373639
15497,11.35192055
15537,14.01136575
15541,8.559642934
15543,5.17467584
15545,2.330008319
15557,4.848091125
15562,5.685612101
15569,4.714143073
15571,4.657985435
15576,13.54655399
15582,12.11801288
15583,10.84070199
15599,8.39840668
15611,16.00902932
15623,5.737695545
15628,10.23701637
15629,4.665394776
15643,11.88520565
15688,15.28385692
15691,5.177422812
15701,5.69718286
15717,6.810758641
15722,6.805080229
15739,4.737807936
15742,5.493939912
15743,8.378342172
15746,9.751738158
15753,4.698199318
15828,4.715795323
15869,3.857136628
15932,10.98088539
15936,5.474251411
15962,8.636490384
15990,5.072321801
15991,4.248349156
15995,9.933665991
16001,12.85596362
16009,6.927726856
16027,4.966705696
16034,3.901876738
16037,15.60929741
16060,5.431718426
16071,8.114369979
16094,12.11292087
16109,8.565475167
16131,9.10945348
16135,15.18316485
16204,14.65528176
16222,6.668011556
16224,4.317328749
16246,7.016179836
16292,6.655240286
16301,4.206068119
16331,9.06690635
16402,8.734380077
16406,9.810225507
16438,6.047268893
16460,14.96821383
16504,5.234875847
16510,6.448280292
16512,5.055170463
16520,3.908844654
